"","Sex","Age","Education","Caste","Family","Family_income","Who_runs_page","Desc_family","Desc_desiredpartner"
"531","Male","Upto 27","Graduate","Dalit","Nuclear Family","Max 5 lakh","Other","my family is laber claas","good nature"
"532","Female","28 to 31","Postgraduate","Dalit","Nuclear Family","More than 17.5","Sibling","ELDEST SIS-: SI (UP POLICE) POSTED &LIVES IN LUCKNOW ELDEST BRO: HEAD ASSISTANT (IRRIGATION DEP.) ELDER BRO: JUN ASSISTANT IN SOCIAL WELFARE DEP. ELDER SIS: ANUDESHAK IN JUN HIGH SCHOOL YOUNGER BRO: Assitant Manager (INDIAN OIL CORP. LTD.)","WE ARE SEARCHING GROOM FOR MY SISTER WHO IS STRICTLY PURE VEG, STATE GOV/ CENTRAL GOV EMPLOYEE, OR WORKING IN PSU. LIVING IN LUCKNOW, FAIZABAAD,BARABANKI,GONDA,BASTI,GORAKHPUR OR NEARBY LUCKNOW/BASTI LOOKING FOR DOWN TO EARTH, SINCERER, ONE WHO RESPECTS VALUES OF RELATIONS. LOOKING FORWARD TO MEET STRICTLY CRITERIA FULFILLING PERSON, ELSE TIME OF BOTH PARTIES WILL BE WASTED."
"533","Male","32 and more","Postgraduate","OBC","Joint Family","Max 12.5 lakh","Self","my family very simple.","cute & charming with intelligent"
"534","Female","Upto 27","Graduate","Brahmin","Nuclear Family","Max 12.5 lakh","Parent","I am engaged in private business. My wife is Supervisor in ICDS,UP.","We are looking for a simple,caring,honest and supportive person.He should be down to earth."
"535","Male","28 to 31","Postgraduate","Brahmin","Nuclear Family","Max 17.5 lakh","Self","Father is bussinessman . Mother is housewife. I am only .","Looking for a well educated, decent, loving, caring & down to earth person who believes in customs, traditions & respect Elder."
"536","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Parent","I belong to upper middle class family with moderate values. We are settled in town Dhanaura of Amroha district of U.P.","She should be caring, responsible and loyal towards both families."
"537","Male","Upto 27","Graduate","OBC","Nuclear Family","Max 17.5 lakh","Self","Father is working as a Office Superintendent in govt sector. Mother is housewife. One sister is married and well settled.","She should be the one who can handle every situation of her life easily and comfortably. She should be from a very good family background and understand her responsibilities towards life and family."
"538","Male","32 and more","Graduate","OBC","Nuclear Family","Max 6.3 lakh","Self","FATHER IS EXPIRED MOTHER IS EXPIRED THREE SISTER AND TWO SISTER BOTH ARE MARRIED AND SETTLED IN KANPUR,UNNAV AND OTHER ONE IS UNMARRIED AND DOING STUDY","She should be good looking, beautiful. She must be having good understanding and calm by nature and always give respect to elders."
"539","Male","32 and more","Postgraduate","Dalit","Nuclear Family","Max 17.5 lakh","Self","Simple but high thinking family. Younger brother is an advocate. Father is a JE civil in PWD.","Simple good looking, smart and fluent english speaker with better understanding of life."
"540","Male","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 5 lakh","Self","Father is Mother is Housewife. One sister is married and she is settled in Uttar Pradesh. One brother is married and he has own contraction business.","Looking a simple girl , she should be good nature ,She should be from a very good family background and understand her responsibilities towards life and family.She should be the one who can handle every situation of her life easily and comfortably."
"541","Female","Upto 27","Postgraduate","Other upper caste","Joint Family","Max 17.5 lakh","Parent","Our family is a middle class simple and a very down to earth family with some values and ethics. I am retired army person my wife is a homemaker and my son is currently serving as an officer in Indian Army.","He should be a honest simple ,kind ,loving and empathetic man who is mature enough to respects everyone and relationships too. Who loves to communicate and wants enjoy every moment of lyf."
"542","Female","32 and more","Graduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Sibling","Father:Dr. Pramod Kumar (Retired as Deputy Director, Ministry of Heavy Industries & Public Enterprises, Government of India) Mother:(Late) Mrs. Ragini Kumar. Sister:Priya Srivastava, Senior Engineer, Ericsson India Global Services Pvt. Limited, Noida (Spouse: Solution Architect in same Company). Grand Parents:(Late) Shri Rang Bahadur Lal / (Late) Smt. Lakshmi Devi. Uncles: 1st Uncle:Retired Branch Manager, State Bank of India) 2nd Uncle: Retired Chief Engineer, Government of Jharkhand 3rd Uncle:Shri Subodh Kumar Verma, (Officer), Bank of India. Uncles (Maternal): 1st Uncle:Officer, State Bank of India 2nd Uncle: Teacher) Fufaji: 1st: Retired Foreman, B.C.C.L) 2nd: Retired Branch Manager, Allahabad Bank) 3rd: . Retired Chief Medical Officer. Ordnance Factory) Some of Nephews/ Nieces: 1. Director, Sapient Global Markets, New York, USA 2. Senior Manager- Technical Group Head, Hexagon, Hyderabad 3. Team Lead, Accenture, Bangalore 4. Senior Manager, Asset Management, J.P. Mo","Looking for a person who is independent and understanding. He should be a good human being with a positive attitude towards life. He should be well educated and settled partner along with a modern outlook. Honest, loving, caring and understanding person who believes in life long relationship and commitment."
"543","Female","Upto 27","No higher education","Other upper caste","Nuclear Family","Max 12.5 lakh","Sibling","Father, Mother, 2 brothers 1 is Engineer and 1 has joined army","Basically should be working in Delhi Ncr"
"544","Male","28 to 31","Graduate","Brahmin","Nuclear Family","More than 17.5","Self","My father is a business man and my mother is a home maker. i have a younger sister who is working as Assistant Manager in a PSU Bank.","Looking for a lifetime companion, someone who is honest, down-to-earth, good looking balances family and professional life, respects family and Indian values, and above all is a good friend to share a life long relationship full of fun and mutual caring, respect and support."
"545","Male","28 to 31","Postgraduate","Brahmin","Nuclear Family","More than 17.5","Self","Our family is well settled, educated and cultured family. There are 4 members in my family: Father is an Rtd Army Officer Mother is a housewife. 1 Younger brother.","my life partner should be very soft spoken and also knows family values. She should be well educated and well mannered with positive attitude. She should be smart, intelligent and hard working girl, who could manage a family and its traditions."
"546","Female","Upto 27","Postgraduate","OBC","Nuclear Family","More than 17.5","Parent","My father run a business and I have two brothers and my mother is housewife","a well settled man who value family and relations"
"547","Female","28 to 31","Graduate","Other upper caste","Nuclear Family","More than 17.5","Parent","We are from an educated family. My father is B Tech from IIT - Roorkee and is running his own manufacturing unit in Ghaziabad. Mother is MSc Maths & is a Home maker - a very understanding & religious lady. Younger Brother is studying in B tech.","a person with educated mindset, respectful to females, honest & understanding nature, respectful to elders & relatives of both sides, loving & affectionate, good looking"
"548","Male","28 to 31","Postgraduate","Other upper caste","Joint Family","Max 12.5 lakh","Self","Moderate and Loving family","good knowledge and understanding person"
"549","Female","Upto 27","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Father is working in government sector. Mother is house wife. One brother is married And he is working in private sector.","Looking for a person who is independent and understanding. He should be a good human being with a positive attitude towards life. He should be well educated and settled partner along with a modern outlook."
"550","Female","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Parent","Father is business person mother is housewife one brother he is unmarried & he is doing study","he should be caring, loving, should have good professional an educational background. he must owe respect towards Indian tradition and culture and mostly for elders."
"551","Male","32 and more","Graduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Father retired From Government. Mother State government employee.In short our family is 5 members small family which is simple, educated, with high moral values and down to earth. Parents lives in Allahabad in our own house.After marriage he can also shift to our flat in New Delhi.","Civil Servant, Professor, Lecturer, Doctor, Government Officials (Caste No Bar)"
"552","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Self","i had a family of 4 people. my mom and 2 younger brothers. my one brother is a research engineer while youngest brother is looking for a job in government sector.","Marriage isn't a game to play again and again. So she must be mature and understanding. Health conscious, someone who believes in God, treat my family as her family, passionate about our future and some who wants to grow old with me."
"553","Male","32 and more","Graduate","Dalit","Joint Family","Max 17.5 lakh","Self","I have three brothers, one sister all are well settled Father and mother Govt Employee","Simple and down to earth and lovable and respectable to all"
"554","Male","Upto 27","Graduate","Other upper caste","Joint Family","Max 6.3 lakh","Self","I am living in joint family. My mother is house wife and my father is doing is business. my brother is doing study and he is a teacher in engineering college and 2nd brother is doing job with me ..& 3rd brother is doing in business....","looking smart frankly and educated ..."
"555","Male","28 to 31","Postgraduate","OBC","Nuclear Family","More than 17.5","Sibling","We live in Varanasi (originally from Jaunpur). Our agriculture land and ancestor house is taken care by My uncle and aunt (both are in Government job). Father retired from India Railways last year and enjoying his retirement, Mother is housewife and leading the family. First elder brother is married and blessed with a daughter. He works in IT sector, Bhabhi is Homeopathic Doctor. Second elder brother is a research and P.H.D. scholar in B.H.U. and Bhabhi is Assistant professor in Central Government university.","Looking for an educated girl, must believe in family values and should be ready to accept me as i am."
"556","Female","Upto 27","Graduate","Brahmin","Nuclear Family","Max 5 lakh","Self","simple people with high thinking","He would be justice loving person ,understanding,fun loving ,and last nd most important A true Man who wld believe in relation not dowry nd bribe"
"557","Male","28 to 31","Postgraduate","OBC","Nuclear Family","More than 17.5","Self","My father is a shopkeeper at a departmental store . He is very serious and at the same time fun loving person. He never interfere in our life . My mom is a beautiful housewife. She loves to talk and talk. She is lovely but nonstop talking lady. Many times we enjoyed her nonstop speech . Younger brother lives with Bua not with us . He passed his m.tech. Sister is very helping and she done b.sc from BHU.","She should be cheerful,fun loving, beautiful looks with smart mind . English language is very important."
"558","Male","Upto 27","No higher education","Other upper caste","Joint Family","Max 17.5 lakh","Self","Father has own business(Fast food). Mother is housewife. Three brothers all are married and all are are doing own business. Two sister both are married and both are well settled.","Looking a simple girl , she should be good nature , and understand her responsibilities towards life and family. She should be family oriented ."
"559","Female","Upto 27","Graduate","OBC","Nuclear Family","Max 6.3 lakh","Sibling","We are a family of 5. My father is a retired loco pilot. My mother is a home-maker. I have elder sister and elder brother. Both are married.","He should be intelligent. He must value both sides of family. He should be caring,loving and responsible person. He must understand the others point of view."
"560","Female","Upto 27","Graduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Her family is settled in ghaziabad. Her father is retired as a Senior manager from SBI. Her mother is a housewife. Her brother is working as a senior engineer in Bharat Electronics Limited, Ghaziabad.","We are looking for a suitable partner for my daughter who can support her in every phase of life."
"561","Male","28 to 31","Graduate","Brahmin","Joint Family","Max 17.5 lakh","Parent","Middle class moderate joint family who basically belongs to Ballia, UP. Settled in Kota.","I am looking for a girl who is well educated, willing to continue with her job after marriage, would gel up in family easily. I wish her to be a good friend of mine. A love for dogs would be an advantage."
"562","Female","Upto 27","Postgraduate","Brahmin","Nuclear Family","More than 17.5","Parent","Father Kaushal Kishore Mishra is working as Executive Engineer in Water Resources Department Govt of Bihar and currently posted at walmi Patna. Mother is homemaker. Elder sister : Working at Sapient. Younger brother : B.Tech in IT from KIIT (Ongoing). Our native place is in Saharsa, although we have been living in Deoghar for several years now.","Should be Open-minded, down-to-earth & a rational being."
"563","Male","28 to 31","Postgraduate","Brahmin","Joint Family","More than 17.5","Parent","Joint family with traditional values and bonding","She should be goal oriented in life, and should have vision to succeed in life, and both of us should complement each other, and guide each other in different stages of life"
"564","Male","28 to 31","Graduate","Other upper caste","Joint Family","Max 5 lakh","Self","my familly is simple and loving","she should be balanced personality with loving nature"
"565","Female","32 and more","Postgraduate","Brahmin","Nuclear Family","Max 5 lakh","Sibling","We are one brother and one sister, my brother is elder to me working in a private firm, mother is house wife, my father expired 6 yrs back. We are living in Delhi. I have a 4 yrs Old daughter living with me","He should be loving, caring, who can accept my 4yrs old daughter as a father.who beleieves in down to earth kind of nature, who is some bit orthodox with traditional.should be Manglik by horoscope"
"566","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","More than 17.5","Sibling","I hv four siblings 1 elder brother who is married and 3 elder sisters all r married I m youngest one, and my father is businessman n mother is no more with us","i am looking for a someone who would be good sense of humour and great companion throughout my life."
"567","Male","28 to 31","Postgraduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Self","FATHER RETD SUPERINTENDENT FROM CUSTOMS & CENTRAL EXCISE, SISTER MARRIED TO AN ENGINEER, EARLIER SHE WAS IN RUSSIA , CHINA , vietnam NOW AT PRESENT SHE IS again IN Netherlands WITH HER HUSBAND AND BLESSED WITH HER GIRL BABY 06 YEAR OLD, SECOND SISTER SHE POST GRADUATED FROM WORLD HISTORY, and we are not aggarwal , we are gupta from general category belongs to mathurvaishya baniya from agra uttar pradesh","serious profile only, time passers excuse"
"568","Male","Upto 27","Postgraduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Sibling","My father is a businessman and my mother runs a primary school . I have one sister who works with Air India as Deputy Engineer . My brother in law is also an IT Analyst","Need a partner who should live with us like her own family. With good family values"
"569","Male","Upto 27","Postgraduate","Brahmin","Nuclear Family","Max 17.5 lakh","Parent","Hello I am his Father, I am working in Government Thermal Power Plant. as a Executive Engineer My wife lives with me and she is a homemaker . We have two sons younger one have completed Mechanical engineering and preparing for civil services. Elder one is working as Media Professional , he has goals and missions to complete , so we are searching for girl who can support him at any stage and stay with him.","I want a partner with whom I can share the best chemistry, so that we can move forward together and happy ."
"570","Male","32 and more","No higher education","Other upper caste","Nuclear Family","Max 5 lakh","Self","single-family","Mujhe Aise Jeevansathi Ki Talash Hai Jo slim Ho Sundar Susheel Har kam mein perfecto Ho aur mere teenon bacchon ko Apna samjhe aur ek Ma Ka Pyar De"
"571","Female","Upto 27","Graduate","OBC","Nuclear Family","Max 5 lakh","Sibling","My father is an electrician working on his own. My elder sister lives in Gurgaon with her husband both are working. Di is a govt.employee and Jiju is working in Maruti Suzuki India LMT. Gurgaon as a manager.And one of my brother is also working in Gurgaon . N my younger brother n sister are studying. Currently I am also working in Gurgaon n living with my elder sister.","He should be taller than me, educated , working ,honest , open minded."
"572","Female","32 and more","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Ours is a nuclear upper middle class family. My father - B.Sc,M.B.A; was associated with Pvt.Sectors in a Managerial capacity (Technical Sales) and retired some times back.I have one brother who is Graduate and having Dip.in Mass Comm. Already married and working as Journalist. in a leading Print Media. Earlier he was associated with E.TV, I- Next, Hindustan. My mother is home maker.","Well professionally qualified, well mannered and cultured from Research, IT, Engineering,Medico, Banking,Health,Marketing,Govt./Public, Education and Business sectors."
"573","Male","28 to 31","No higher education","Other upper caste","Joint Family","Max 12.5 lakh","Self","we are four brothers my no is 3rd.all are marriod and well setild.one is in south afreeca as professor father is retard from uppcl.mother is house wife .we have our own land in village and farming","honest"
"574","Male","32 and more","Postgraduate","OBC","Joint Family","Max 6.3 lakh","Self","ALL MEMBERS R EDUCATED. LIVES AT DEHRI ON SONE N SHOP OF JEWELLERY.","she must be fair,familiar with all family members. can do job also if interested. behaviour must be respectful n cultural."
"575","Male","28 to 31","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Self","About my family: Father : Businessman (land-owner in my hometown) Mother : Housewife Elder Brother : MBA, working in Gurgaon Sister-in-Law : MSc, currently preparing for government exams Elder Sister : Double MA, Married and settled in Palwal","Looking for a healthy relationship, with a responsible, and understanding girl."
"576","Male","Upto 27","No higher education","Dalit","Joint Family","Max 6.3 lakh","Other","middle class","family ki respect kre"
"577","Female","28 to 31","Graduate","Other upper caste","Nuclear Family","Max 6.3 lakh","Sibling","Father is Dentist mother is housewife one brother he is unmarried & he is doing study two sister one is married & well settled in gurgaon & one are unmarried doing study","he should be caring, loving, should have good professional an educational background. he must owe respect towards Indian tradition and culture and mostly for elders."
"578","Male","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 5 lakh","Parent","My father is include in My business(Cosmetic Wholesales) My mother is house wife No brother One younger sister is married and she is settled in Hapur","She should be professionally qualified girl. She should be caring, soft spoken, loving and a girl of pleasing personality. She should be from a very good family background and understand her responsibilities towards life and family. She should be the one who can handle every situation of her life easily and comfortably."
"579","Male","32 and more","Postgraduate","Other upper caste","Joint Family","More than 17.5","Parent","Our family is a blend of modern and culture values. we as a family never believe to impose restrictions on each other. My family constitutes two sons and a daughter, he is my elder son, my younger son is post graduated from IIT, Mumbai and have worked as a Professor in NIT- Kurukshetra, he is now into running his own coaching institute, he is married and my daughter-in-law is a Chartered Accountant and currently working in a multi national company as a Manager Finance. Both are settled in Delhi. My daughter ( Deepika) is an Assistant Teacher in UP Government, she is graduated from BHU and post graduated from DDU University, Gorakhpur. She is married to a Delhi based lawyer. My son-in-law is a practicing lawyer. Me and my husband have retired from our respective Govt. jobs. I have retired from GGIC as a Principal and my husband as health supervisor.","We are looking for a bride who is cultured and well educated. A girl working in the same field (teaching) is preferred."
"580","Female","28 to 31","Graduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Parent","I live with my father, mother and my 2 sisters. Basically my family is from pratapgarh(u.p), but are living here in lucknow from past 14 years. My father is project manager in nirman nigam(uprnn) and mother is housemaker.","Looking for a boy who is good in nature with high moral values. He should have understanding nature and have respect for elders and younger too."
"581","Male","32 and more","Graduate","Brahmin","Nuclear Family","More than 17.5","Sibling","Father is working in Government Employee Mother is housewife. 1 Younger Sister is unmarried.","We are looking for a good natured, sweet, well behaved, pretty female. She should have respect towards Indian tradition and culture, she must have respect for the elder ones and should be a mixture of intellect and beauty and should be tied in Indian tradition"
"582","Male","Upto 27","Postgraduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Self","My Father Is Farmer And My Mother Is Housewife, I am single Son of my Parents, We are living In village Near to Baheri, which come in District Bareilly..","She will be charming shy simple loving and caring innocent, White tall and slim"
"583","Female","28 to 31","Graduate","Brahmin","Nuclear Family","Max 17.5 lakh","Sibling","Our family is based of Lucknow but we all are currently living in Bangalore. we are 4 members including my dad, Mom and my sister Dad working in Indian Air Force presently posted at Bangalore ...my elder sister works as an assistant branch manager in a bank, nd brother in law works in Bosch as an engineer","Should be caring & have respect for others. Should be friendly & should have an easy going approach towards life. She believes that marriage is a mutual bond in which both should have equal say in every aspect of life.... Would like to have someone with the same thoughts... Would also like to tell that we are completely against dowery... Anyone having all these qualities would be our choice preferably...."
"584","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","More than 17.5","Sibling","My parents are a symbol of simplicity and spiritual in nature with good social connections. My father and brother runs an independent family jewellery business. Brother is married and has a little angel daughter, Mother is a home maker, with an extensive knowledge of making different dishes and possess good embroidery skills. Brother's wife is master in Singing, she has a heart winning voice and a professional background in singing. My family believes in Live, Love and Grow.","My Partner should be such in nature that she treats my family as her family and she expects the same from me. I think the above would cover most of the qualities that I am looking for but still to add some of them, she should be understanding, caring and adorable. Singing ability and good sense of humour is a bonus."
"585","Male","Upto 27","Postgraduate","OBC","Joint Family","Max 12.5 lakh","Self","My family is a joint family.My father is farmer and mother housewife.","I want a girl who care my parents."
"586","Male","28 to 31","No higher education","Other upper caste","Nuclear Family","Max 5 lakh","Self","Father is Expired. Mother is Housewife. I have one brother is unmarried own business. I have one sister is unmarried working as a Teacher.","I am Mujhe simple si ladki chaiye jo ki aapna or mera or mere Ghar balo ka dhayan rakhe meri jyada badi female nhi h 1 bhai 1 sistar or mammi h mere papa nhi h"
"587","Female","28 to 31","Postgraduate","OBC","Nuclear Family","More than 17.5","Parent","My father and Brother works in a Bank, Mother is a home maker and sister-in-law is a teacher.","Family Person, Caring, likes to travel, liberal and respectful and kind"
"588","Male","Upto 27","No higher education","Brahmin","Nuclear Family","Max 5 lakh","Self","father is working in private sector. mother is housewife. fiver brothers,one brother is married and he has own business and other two brothers both are unmarried and both are working in private sector and other two brother both are unmarried and both are doing study. one sister is married and settled in Gonda.","She should be caring, soft spoken, loving and a girl of pleasing personality.. She should be the one who can handle every situation of her life easily and comfortably."
"589","Male","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 5 lakh","Self","father is Expired mother is housewife one brother is unmarried & he is doing study four sisters two sister both are married & both are settled in Shahjahanpur & other two sisters both are unmarried & one sister she is doing study & other one sister she is Beautician","She should be beautiful, caring, soft spoken and loving in nature. She should be the one who understands her responsibility towards life and family members."
"590","Male","32 and more","Postgraduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Sibling","My family of 6 members, Father has passed away, mother is wonderful homemaker, 3 sisters which all are married and well settled, we are two brothers, Iam working in banking sector.","she should be adjustable in nature, soft spoken, helping and good cook also."
"591","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Parent","We are total 5 members in my family. I am an ex-service man from garhwal rifle and my wife is house maker. Two daughters none of which are married and both are working professionals (occupational therapist) and a son.","Only garhwali Rajput &kumaun Rajput only"
"592","Male","32 and more","Graduate","Brahmin","Joint Family","Max 17.5 lakh","Self","living togthet","sweet smart imple andhonest"
"593","Male","32 and more","Postgraduate","Other upper caste","Joint Family","Max 12.5 lakh","Parent","Our family is a Joint family with traditional Value. We live happily since our wedding","I Want simple and domestic girl"
"594","Female","Upto 27","Graduate","Brahmin","Nuclear Family","More than 17.5","Self","Father is self employed in the business of Manufacturing and Trading High Voltage Instruments with the trade name Rex Instruments Solutions in Greater Noida.Mother is homemaker. 2 Brothers. Elder one is B.tech Graduate, engaged in Father's business and the Younger one is also B.tech Graduate working in NTT Data ,Noida","He should be a person with blend nature of modern and traditional values. A nice person of caring nature , trustworthy and down to earth with respect for everyone"
"595","Female","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Parent","I was a govt employee of bihar. Right now I'm retired. We come from well educated family. My wife (M.A) is home maker. I have two daughters and one son. Elder daughter(MBA) is married and settled in USA. My Son in law is a software engineer in USA. My son is working in a Nationalised bank.","looking for a boy who should be govt officer, PSU. and his family origin should be from Bihar, Jharkhand, gorakhpur, Lucknow, Kanpur. My daughter is currier oriented and she would love to continue her job after marriage."
"596","Male","28 to 31","Postgraduate","Brahmin","Nuclear Family","More than 17.5","Parent","My Father Mr H.C Dhyani is working with Indian Oil and my mother is pillar our family and is taking home perfectly. I have a elder brother who is running his own business and is married . From Last 23 Years we are residing in Noida.","I am looking for a girl who can understand me and family. She should be well educated with some family values."
"597","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","More than 17.5","Other","Father is working Assistant Conservator of Forest Mother is working as a Professor in Barkatullah university .","She should be professionally qualified and working girl. She should be beautiful, caring, soft spoken and loving in nature. She should be the one who understands her responsibility towards life and family members. She should have adjustable nature and should be able to handle every thick and thins of life. She should believe in family values and belongs to a very good family background."
"598","Female","Upto 27","Graduate","Brahmin","Joint Family","Max 5 lakh","Sibling","My faimly very simple and not reach so contect me only want to marriage becouse I don¢€™t want west my time on that people which r intrested in time pass","I want he is loveing and careing and accsept my all thing becouse I am not face purson that¢€™s why I want"
"599","Female","28 to 31","Graduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Parent","NUCLEAR FAMILY, CONSISTING FIVE MEMBERS.","ONLY JAT NON DRINKER,PURE VEGETARIAN MBBS,MD,MS DONE."
"600","Female","28 to 31","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Parent","We are quite liberal. I am working in Railways. Her mother is housewife & son is working in L&T","I seek life partner who is focussed towards acheiving his goals. One who is financially stable and from humble background."
"601","Male","28 to 31","No higher education","Other upper caste","Joint Family","Max 6.3 lakh","Sibling","My father is currently working in private coaching. My mother is house wife. I have two brothers. I have one sister. Married","Simple beautiful girl"
"602","Male","32 and more","Postgraduate","Other upper caste","Joint Family","Max 12.5 lakh","Self","Conservative , joint family middle class","she well qualified who respect my family and understand me in better way ,also love my children"
"603","Male","28 to 31","Postgraduate","Other upper caste","Joint Family","Max 17.5 lakh","Self","good family","samjhdar budhiman jo pyari si ho sunadr na ho chalega par sabke liye acha sochti ho jo family ko phle soche kuch kuch aisa ho"
"604","Male","Upto 27","Postgraduate","OBC","Nuclear Family","Max 12.5 lakh","Parent","I am working as DGM(Mktg)at Waidhan,thanks to see details my son profile , In My family 2 son & 1daughter.elder son married & Education MBA(Finance)working private company& my 1st daughter is married & Education MA,Bed. my home is 2 place ,one house 4 Rooms & hal at Saidpur - Ghazipur in UP. & next house same at waidhan in MP.","Talented , shusil, sankarik ,responsbility in family."
"605","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","More than 17.5","Self","my father is a business man my mother Is a housewife and i have one younger sister working in mnc","i want my partner is my best friend ever and forever.."
"606","Male","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 5 lakh","Self","Very caring family","Only loving and caring nothing else"
"607","Male","Upto 27","Graduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Parents lives in delhi","Working in private/psu/government."
"608","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Father is D.G.M.in construction company in Lucknow. Mother (B Sc ) is House wife.Parental Side Family: we are originally from Arrah (Bihar) ,Presently Settled in Lucknow from last 25 Years. Elder Sister: Did MS from USA and Son in Law both are Software Engineer working in Boston, USA.","Partner Expectation: My son is looking for a caring and compassionate woman. The prospective match should have an independent career of her own. An ability to blend with our family and always seeing the positive side of life will be an asset we prefer the girls from software lines"
"609","Male","32 and more","Graduate","Brahmin","Nuclear Family","Max 12.5 lakh","Self","2 brothe 1 which married","meri life partner sachchi dil ki achchi or pyar karne wali ho kyonki me bachpan se hi pyar ke liye tarsa hu"
"610","Male","32 and more","Postgraduate","Brahmin","Joint Family","Max 17.5 lakh","Self","We are looking for an educated, settled girl. Ours is a happy, simple family which is ready to open up to new ideas and way of life. I currently reside in Dehradun and my parents live in Ambedkar Nagar district in Uttar Pradesh. Father manages farm business and mother is a housewife. Grandfather (deceased) was posted as a general manager with a cooperative department of Uttar Pradesh state government. ON maternal side, my uncle (Mamaji), retired as IAS officer in education department. My uncle is a PCS officer in Uttar Pradesh government in Lucknow. I have two younger sisters out of which one is married and the younger one is a government high school teacher. She is simultaneously preparing for civil services examinations too. Apart from 50 Bighas of agricultural ancestral property in our native village, we own houses in Faizabad as well as in Lucknow. My great grandfather was hailed a a landlord in the region in home district (Ambedkar Nagar, Uttar Pradesh)","she should be independent ,working and willing to pursue her career goals."
"611","Male","32 and more","Postgraduate","Dalit","Nuclear Family","More than 17.5","Self","MY MOTHER IS LIVING WITH MY BROTHER WE R FOUR BROTHER ,THREE YOUNGER BROTHER WORKING IN GOVERNMENT SECTOR IN UTTER PRADESH AND WELL SATELLITED IN U.P ONLY.","CARING,UNDERSTANDING ,GOOD HUMAN SENSE TAKE CARE OF EACH OTHER ON EVERY STAGE.,NO CHILDREN."
"612","Male","32 and more","Postgraduate","Other upper caste","Nuclear Family","Max 5 lakh","Self","Father is retired. Mother is home make. I have two sisters and two brothers. All are well educated.","Good looking and respecting."
"613","Male","28 to 31","Graduate","Brahmin","Joint Family","Max 12.5 lakh","Self","My father is a lawyer in jhansi and my mother is a house wife my brother is a software engineer in airtel","should be smart by mind"
"614","Male","28 to 31","Postgraduate","Other upper caste","Joint Family","Max 12.5 lakh","Self","Joint family with traditional values.","I need a partner who can go hand in hand with me through out the life and can adjust with my family values and traditions."
"615","Male","28 to 31","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Father retired from Govt. service and getting pension and mother is housewife. We are from Gorakhpur. We have a house there and we have another house at Lucknow.Most Of our relatives are settled in Lucknow. Our annual family income is over 18 lakh.","Simple homely non working graceful girl."
"616","Male","Upto 27","Graduate","OBC","Nuclear Family","More than 17.5","Self","My family lives in Ballia ,UP. My father and elder brother have their own business, one brother is a doctor and practicing as pediatrics surgeon in kolkata. My mother is a homemaker.","someone who is full of life , cheerful and one who has her own individual personality ."
"617","Male","Upto 27","Graduate","Dalit","Joint Family","Max 12.5 lakh","Self","Father is working in Private sector. Mother is expired. Two brothers,One brother is married & working in private sector in mumbai and one brother is unmarried he is doing study. Three sisters,all are married.","She should be the one who can handle every situation of her life easily and comfortably. She should be from a very good family background and understand her responsibilities towards life and family."
"618","Female","28 to 31","Postgraduate","Brahmin","Nuclear Family","More than 17.5","Parent","Well educated family. Father employed in Indian Railways, mother housewife. Having one brother married Chartered Accountant settled in Moradabad.","Needs a partner who values family and pay respect to elders and women."
"619","Male","28 to 31","Graduate","OBC","Joint Family","Max 12.5 lakh","Self","My parents are very great full and always supported to your child's.","She girl who has a flexible attitude & capable of managing her aspirations as per the situation. My life partner should be caring & respectful towards all the family members."
